id,first_name,last_name,email,phone_number,date_of_birth,enrollment_date,status
2,qwer,asdf,b@gmail.com,+37371234567,2006-06-07,2025-09-10T12:12:05.007116+00:00,ACTIVE
5,aaa,aaa,bc@gmail.com,+37367890891,2010-09-11,2025-09-11T06:44:05.929086+00:00,ACTIVE
22,benjamin,hernandez,benjamin@example.com,+37360000015,2007-01-07,2025-09-12T06:22:15.528688+00:00,ACTIVE
13,emma,miller,emma@example.com,+37360000006,2008-02-10,2025-09-12T06:22:15.486808+00:00,ACTIVE
33,rt,ty,er@gmail.com,+3736000000,2025-09-11,2025-09-13T14:20:10.609632+00:00,ACTIVE
21,isabella,martinez,isabella@example.com,+37360000014,2011-11-30,2025-09-12T06:22:15.524430+00:00,GRADUATED
20,james,rodriguez,james@example.com,+37360000013,2010-10-22,2025-09-12T06:22:15.520090+00:00,ACTIVE
8,john,doe,john@example.com,+37360000001,2008-05-14,2025-09-11T22:40:38.921101+00:00,ACTIVE
14,liam,johnson,liam@example.com,+37360000007,2009-04-25,2025-09-12T06:22:15.496586+00:00,INACTIVE
34,lina,li,lina11@gmail.com,+37368999999,2010-09-07,2025-09-13T19:03:04.253621+00:00,ACTIVE
31,li,li2,lina1@gmail.com,+37366343434,2010-08-31,2025-09-12T16:42:47.162924+00:00,INACTIVE
30,lina,li,lina@gmail.com,+37366343434,2009-08-31,2025-09-12T16:42:09.728944+00:00,ACTIVE
9,mary,smith,mary@example.com,+37360000002,2009-07-22,2025-09-11T22:40:38.926347+00:00,INACTIVE
16,noah,jones,noah@example.com,+37360000009,2011-09-05,2025-09-12T06:22:15.504938+00:00,GRADUATED
15,olivia,williams,olivia@example.com,+37360000008,2010-06-15,2025-09-12T06:22:15.501030+00:00,ACTIVE
3,asa,qwq,qweasd@gmail.com,+37367888888,2010-09-10,2025-09-10T12:33:09.281731+00:00,INACTIVE
32,rrr,ttt,rt@gmail.com,+37322444444,2010-09-13,2025-09-13T13:49:13.235693+00:00,ACTIVE
11,sara,lee,sara@example.com,+37360000004,2010-11-11,2025-09-11T22:40:38.931987+00:00,GRADUATED
19,sophia,garcia,sophia@example.com,+37360000012,2009-08-20,2025-09-12T06:22:15.516221+00:00,ACTIVE
36,testing,admin,test2@gmail.com,+3736768888,2005-09-13,2025-09-13T19:31:05.235838+00:00,ACTIVE
38,testadmin,six,test35@gmail.com,+37367890864,2010-09-01,2025-09-13T21:32:54.598852+00:00,INACTIVE
37,test,trei,test3@gmail.com,+37367890865,2005-09-17,2025-09-13T19:53:18.377271+00:00,ACTIVE
29,test,test,test@gmail.com,+3736788888,2025-09-18,2025-09-12T16:18:38.149792+00:00,ACTIVE
41,teststudent,one,teststudent1@gmail.com,+37367890860,2004-05-17,2025-09-14T16:56:16.974845+00:00,ACTIVE
12,tom,jackson,tom@example.com,+37360000005,2007-03-03,2025-09-11T22:40:38.935162+00:00,ACTIVE
44,g,f,u@gmail.com,6,2025-09-26,2025-09-15T09:35:16.365199+00:00,INACTIVE
18,william,davis,william@example.com,+37360000011,2008-03-18,2025-09-12T06:22:15.511655+00:00,INACTIVE
